Instrument,Date,Earnings Per Share - Actual,Earnings Per Share - Mean,Earnings Per Share - Actual Surprise,Earnings Per Share – Coefficient of Variation,Market Capitalization,Revenue - Actual,Enterprise Value,Number of Analysts,Recommendation - Mean (1-5),Recommendation - Mean (1-5),"WACC Inflation Adjusted Risk Free Rate, (%)",Net Income after Tax,Price Target - Mean,Price Close
QRVO.OQ,2022-10-01,2.66,2.5351,4.927,2.08039130606288,8195431228.2,1158057000.0,9331830228.2,22,2.7931,2.67857,3.747421,188615000.0,104.0375,79.41
QRVO.OQ,2022-07-01,2.25,2.12041,6.112,3.33661886144661,9694702659.53,1035358000.0,10883820659.53,22,2.67857,2.51724,3.092855,68884000.0,129.31364,94.32
QRVO.OQ,2022-04-01,3.12,2.925,6.667,1.47282051282051,13175526996.77,1166158000.0,14250032996.77,23,2.51724,2.42857,2.325202,212275000.0,163.45455,124.1
QRVO.OQ,2022-01-01,2.98,2.75878,8.019,0.656449590036176,17237810470.53,1113957000.0,18296234470.53,24,2.42857,2.18519,1.515266,216263000.0,198.375,156.39
QRVO.OQ,2021-10-01,3.42,3.25474,5.078,0.845228804758598,18811814690.76,1255248000.0,19404739690.76,24,2.18519,2.14815,1.527139,319189000.0,215.68,167.19
LVS.N,2022-10-01,-0.27,-0.2412,-11.94,-34.9212271973466,28671136159.12,1005000000.0,38009136159.12,12,2.06667,2.25,3.747421,-380000000.0,47.25,37.52
LVS.N,2022-07-01,-0.34,-0.28746,-18.277,-37.3756348709386,25666426785.17,1045000000.0,34617426785.17,12,2.25,2.35294,3.092855,-414000000.0,46.30769,33.59
LVS.N,2022-04-01,-0.4,-0.23439,-70.66,-36.562993301762,29696385598.62,943000000.0,38391385598.62,13,2.35294,2.35294,2.325202,-478000000.0,49.68571,38.87
LVS.N,2022-01-01,-0.22,-0.24464,10.072,-54.4677894048398,28756574265.28,1008000000.0,41949574265.28,13,2.35294,2.4375,1.515266,-315000000.0,50.75,37.64
LVS.N,2021-10-01,-0.45,-0.19682,-128.637,-43.7811198048979,27962024923.2,857000000.0,41180024923.2,12,2.4375,2.07143,1.527139,-594000000.0,51.71429,36.6
CTRA.N,2022-10-01,1.42,1.37209,3.492,3.71185563629208,20780946023.24,2520000000.0,22264946023.24,24,2.6,2.4,3.747421,1196000000.0,36.24,26.12
CTRA.N,2022-07-01,1.35,1.22736,9.992,11.9785555990093,20781715050.61,2572000000.0,22858715050.61,23,2.4,2.24,3.092855,1229000000.0,36.125,25.79
CTRA.N,2022-04-01,1.01,0.82971,21.729,17.2494003929084,21872098074.18,1679000000.0,23611098074.18,24,2.24,2.25,2.325202,608000000.0,35.83333,26.97
CTRA.N,2022-01-01,0.83,1.02232,-18.812,9.22411769309023,15457975141.0,2225000000.0,17617975141.0,25,2.25,2.21429,1.515266,938468000.0,27.64,19.0
CTRA.N,2021-10-01,0.52,0.78668,-33.899,94.8606803274521,8696692578.56,440396000.0,9566931578.56,25,2.21429,2.6087,1.527139,62714000.0,26.92,21.2527744
ON.OQ,2022-10-01,1.45,1.31289,10.443,1.82726656460176,27003624687.34,2192600000.0,27818024687.34,26,2.07143,2.07143,3.747421,311900000.0,73.992,62.33
ON.OQ,2022-07-01,1.34,1.2558,6.705,1.41583054626533,20352245254.92,2085000000.0,21829545254.92,26,2.07143,2.06667,3.092855,456600000.0,73.16667,50.31
ON.OQ,2022-04-01,1.22,1.04822,16.388,1.62275094922822,25900683879.11,1945000000.0,27504083879.11,27,2.06667,2.12903,2.325202,531000000.0,72.8,62.61
ON.OQ,2022-01-01,1.09,0.93789,16.218,3.61236392327458,29262221915.52,1846100000.0,31003221915.52,27,2.12903,2.13333,1.515266,426400000.0,70.53846,67.92
ON.OQ,2021-10-01,0.87,0.73896,17.733,2.68214788351196,19636574143.71,1742100000.0,21381574143.71,27,2.13333,2.11539,1.527139,310400000.0,60.51852,45.77
AIG.N,2022-10-01,0.66,0.53221,24.011,46.423404295297,35477056000.0,14602000000.0,91155056000.0,14,2.23529,2.42857,3.747421,3041000000.0,65.0,47.48
AIG.N,2022-07-01,1.19,1.0965,8.527,17.2868217054264,39436569000.0,14441000000.0,67461569000.0,12,2.42857,2.35294,3.092855,3393000000.0,66.0,51.13
AIG.N,2022-04-01,1.3,1.1814,10.039,13.6922295581513,50608160659.37,15808000000.0,80653160659.37,15,2.35294,2.35294,2.325202,4656000000.0,68.84615,62.77
AIG.N,2022-01-01,1.58,1.1892,32.862,6.70787083753784,47210721990.88,3565000000.0,78616721990.88,15,2.35294,2.2,1.515266,4106000000.0,64.84615,56.86
AIG.N,2021-10-01,0.97,0.8825,9.915,12.2923512747875,46942061766.93,12835000000.0,77074061766.93,14,2.2,2.375,1.527139,1737000000.0,60.41667,54.89
AIZ.N,2022-10-01,1.01,1.18,-14.407,39.7423728813559,7729718352.21,2547800000.0,8429218352.21,9,1.77778,1.77778,3.747421,7300000.0,184.33333,145.27
AIZ.N,2022-07-01,2.95,3.15875,-6.609,4.74206569054215,9348605559.45,2509700000.0,10295405559.45,8,1.77778,1.66667,3.092855,52200000.0,206.33333,172.85
AIZ.N,2022-04-01,3.75,2.87,30.662,8.10418118466899,10493119099.32,2482700000.0,11445219099.32,8,1.66667,1.66667,2.325202,145500000.0,206.33333,181.83
AIZ.N,2022-01-01,2.47,2.3025,7.275,3.26992399565689,8880389864.74,2574900000.0,9042089864.74,8,1.66667,1.625,1.515266,124000000.0,192.83333,155.86
AIZ.N,2021-10-01,1.41,1.9,-25.79,34.1621052631579,9277844611.25,2637800000.0,9451844611.25,8,1.625,1.57143,1.527139,151000000.0,191.83333,157.75
CARR.N,2022-10-01,0.7,0.65262,7.26,3.48288437375502,29926707695.36,5451000000.0,36141707695.36,21,2.41667,2.41667,3.747421,1332000000.0,44.77778,35.56
CARR.N,2022-07-01,0.69,0.61576,12.057,3.53546836429778,30248300876.32,5211000000.0,36094300876.32,21,2.41667,2.33333,3.092855,587000000.0,44.99778,35.66
CARR.N,2022-04-01,0.54,0.46786,15.419,3.40486470311632,39127412420.91,4654000000.0,44413412420.91,21,2.33333,2.33333,2.325202,1387000000.0,51.61714,45.87
CARR.N,2022-01-01,0.44,0.38529,14.2,2.81606062965558,46811240621.28,5133000000.0,53847240621.28,21,2.33333,2.26087,1.515266,332000000.0,57.23619,54.24
CARR.N,2021-10-01,0.71,0.6557,8.281,2.81683696812567,44912224256.96,5341000000.0,52251224256.96,20,2.26087,2.0,1.527139,480000000.0,59.448,51.76
EVRG.OQ,2022-10-01,2.01,1.88389,6.694,2.68274686950937,14973457509.0,1909100000.0,26876257509.0,9,2.4,2.4,3.747421,196200000.0,65.66667,59.4
EVRG.OQ,2022-07-01,0.86,0.83389,3.131,2.87927664320234,15671990473.86,1446500000.0,27214790473.86,9,2.4,2.3,3.092855,123500000.0,71.77778,65.25
EVRG.OQ,2022-04-01,0.58,0.553,4.883,4.21518987341772,15732458247.0,1223900000.0,26915358247.0,9,2.3,2.33333,2.325202,54400000.0,75.0,68.34
EVRG.OQ,2022-01-01,0.16,0.165,-3.03,16.3212121212121,14262325399.2,1122100000.0,25015425399.2,8,2.33333,2.11111,1.515266,450500000.0,71.75,68.61
EVRG.OQ,2021-10-01,1.98,1.76,12.5,3.01988636363636,13854635145.86,1616500000.0,24796535145.86,9,2.11111,1.75,1.527139,186200000.0,69.625,62.2
COST.OQ,2022-07-01,4.2,4.16508,0.838,3.86427151459276,235576555537.18,72091000000.0,231089555537.18,26,2.08824,2.16216,3.747421,1878000000.0,573.0,472.27
COST.OQ,2022-04-01,3.17,3.03373,4.492,4.19219904210329,223101378614.4,52596000000.0,218399378614.4,28,2.16216,2.23684,3.092855,1372000000.0,571.92533,479.28
COST.OQ,2022-01-01,2.92,2.74268,6.465,5.73927691163388,226004235139.62,51904000000.0,220924235139.62,30,2.23684,2.21622,2.325202,1320000000.0,562.37613,575.85
COST.OQ,2021-10-01,2.98,2.63965,12.894,5.00369367150948,236700806740.38,50363000000.0,231227806740.38,27,2.21622,2.17143,1.515266,1345000000.0,534.53871,567.7
COST.OQ,2021-07-01,3.9,3.57281,9.158,3.75054928753558,199081394440.94,62675000000.0,194952394440.94,27,2.17143,2.11765,1.527139,1694000000.0,454.61379,449.35
MCO.N,2022-10-01,1.85,2.05606,-10.022,5.38457048918806,44537752000.0,1275000000.0,50443752000.0,16,2.35,2.3,3.747421,303000000.0,281.875,243.11
MCO.N,2022-07-01,2.22,2.30213,-3.568,5.61827524944291,49906495000.0,1381000000.0,56045495000.0,16,2.3,2.1579,3.092855,327000000.0,308.73333,271.97
MCO.N,2022-04-01,2.89,2.9025,-0.431,5.2916451335056,62252145000.0,1522000000.0,68373145000.0,16,2.1579,2.27778,2.325202,498000000.0,356.16,337.41
MCO.N,2022-01-01,2.33,2.38864,-2.455,4.59382744992967,72608822000.0,1539000000.0,78308822000.0,15,2.27778,2.27778,1.515266,427000000.0,419.89333,390.58
MCO.N,2021-10-01,2.69,2.53687,6.036,5.95063996184274,66014949000.0,1526000000.0,71336949000.0,15,2.27778,2.17647,1.527139,474000000.0,417.84667,355.11
DIS.N,2022-10-01,0.3,0.54865,-45.32,24.7790030073818,171969040104.41,20150000000.0,222093040104.41,23,1.96774,2.03125,3.747421,254000000.0,138.62214,94.33
DIS.N,2022-07-01,1.09,0.96335,13.147,15.7678932890434,175117446955.88,21504000000.0,227118446955.88,23,2.03125,2.05882,3.092855,1502000000.0,141.00276,94.4
DIS.N,2022-04-01,1.08,1.1865,-8.976,10.7357774968394,249426776896.0,20272000000.0,301554776896.0,24,2.05882,2.0,2.325202,597000000.0,180.43742,137.16
DIS.N,2022-01-01,1.06,0.629,68.522,31.7662957074722,281536729785.72,21819000000.0,334953729785.72,23,2.0,1.9375,1.515266,1200000000.0,191.442,154.89
DIS.N,2021-10-01,0.37,0.50883,-27.284,24.3696322936934,319832451985.95,18534000000.0,371950451985.95,25,1.9375,1.89655,1.527139,256000000.0,206.78138,169.17
PAYX.OQ,2022-07-01,1.03,0.96969,6.22,1.027132382514,44451736000.0,1206200000.0,44029836000.0,17,2.95,2.95,3.747421,379200000.0,127.65625,112.21
PAYX.OQ,2022-04-01,0.81,0.79477,1.916,3.1518552537212,44702630000.0,1144300000.0,44285130000.0,17,2.95,2.95,3.092855,296400000.0,132.08,113.87
PAYX.OQ,2022-01-01,1.15,1.04794,9.739,2.24726606485104,42980660000.0,1276000000.0,42433460000.0,18,2.95,3.05,2.325202,430700000.0,138.03125,136.47
PAYX.OQ,2021-10-01,0.91,0.79782,14.06,1.4790303577248,43002233208.0,1108500000.0,42796433208.0,18,3.05,2.95,1.515266,332100000.0,126.3125,136.5
PAYX.OQ,2021-07-01,0.89,0.80083,11.135,1.73320180312925,41276821664.39,1082900000.0,40939721664.39,18,2.95,2.95455,1.527139,333600000.0,112.85882,112.45
AMD.OQ,2022-10-01,0.67,0.68469,-2.146,12.2595627218157,109709248364.0,5565000000.0,106584248364.0,32,2.06977,2.13954,3.747421,62000000.0,95.95385,63.36
AMD.OQ,2022-07-01,1.05,1.0333,1.616,3.15881157456692,141113828280.32,6550000000.0,137898828280.32,30,2.13954,2.22727,3.092855,443000000.0,127.16216,76.47
AMD.OQ,2022-04-01,1.13,0.91,24.176,3.4978021978022,193884292542.24,5887000000.0,189139292542.24,32,2.22727,2.31707,2.325202,783000000.0,144.43421,109.34
