Instrument,Date,GICS Industry Group Name,Earnings Per Share - Actual Surprise AbsVals,Revenue - Actual,Market Capitalization,Earnings Per Share – Coefficient of Variation,loss firm status
SYY.N,2019-10-01,Food & Staples Retailing,0.9030028375472196,0.780502249790228,-0.0910932278980133,-0.2313903170891412,-1
SYY.N,2020-01-01,Food & Staples Retailing,0.9839493803479696,0.7571168280611184,-0.0636316824511692,-0.287493854522773,-1
SYY.N,2020-04-01,Food & Staples Retailing,3.177595391947785,0.6455297088673678,-0.2112897146830804,1.0416456382941528,1
SYY.N,2020-10-01,Food & Staples Retailing,3.678121797460976,0.4838863301566294,-0.1633013099263404,0.7875216729668565,-1
SYY.N,2021-01-01,Food & Staples Retailing,3.928939117804459,0.4655122805551631,-0.1196104256520629,0.2406353578770254,-1
SYY.N,2021-04-01,Food & Staples Retailing,2.602467438527145,0.4878581744662363,-0.0847883311344334,0.9637062891489804,-1
SYY.N,2021-07-01,Food & Staples Retailing,2.943175022815315,0.8506584308461376,-0.1008860502771085,0.0010111204627441,-1
SYY.N,2021-10-01,Food & Staples Retailing,1.6003971677819513,0.8775512914497974,-0.0827677207354918,0.0514354335912635,-1
SYY.N,2022-01-01,Food & Staples Retailing,3.047992600215076,0.8660805613353145,-0.0920139782488661,-0.0231773531258408,-1
SYY.N,2022-04-01,Food & Staples Retailing,3.3902038401872896,0.9150396630119808,-0.0793673992172225,0.0624564076373559,-1
SYY.N,2022-07-01,Food & Staples Retailing,1.4779615496457146,1.0879397415062628,-0.0617455862199246,-0.1993755506088602,-1
SYY.N,2022-10-01,Food & Staples Retailing,1.252762968495368,1.1022060745558002,-0.1282197331958245,-0.2324553262683029,-1
BSX.N,2013-01-01,Health Care Equipment & Services,0.3442986728706769,-0.3537579671413963,-0.3572619574858828,-0.0562493972545327,-1
BSX.N,2013-04-01,Health Care Equipment & Services,2.5875384458745687,-0.3588058523050568,-0.3345895986768679,0.0520140192309016,1
BSX.N,2013-07-01,Health Care Equipment & Services,3.3455084758015667,-0.3547675441741284,-0.3185951408272026,-0.03947842335099,-1
BSX.N,2013-10-01,Health Care Equipment & Services,2.209153148201493,-0.3609932692093097,-0.2923824629547117,-0.044434240023546,1
BSX.N,2014-01-01,Health Care Equipment & Services,1.5477752520419936,-0.3523277330116924,-0.2896776123262291,-0.0477803101886774,-1
BSX.N,2014-04-01,Health Care Equipment & Services,2.662634337571728,-0.3577121438529304,-0.2747392684324106,-0.1452471249442702,-1
BSX.N,2014-07-01,Health Care Equipment & Services,2.261242129459663,-0.3493831333328905,-0.282812321273455,-0.1986444859342931,-1
BSX.N,2014-10-01,Health Care Equipment & Services,1.1832597627283945,-0.3516546816565377,-0.2928829556323452,-0.1816888350728609,-1
BSX.N,2015-01-01,Health Care Equipment & Services,1.2383742310432684,-0.3482052934613697,-0.2772184157273771,-0.1955865213724156,1
BSX.N,2015-04-01,Health Care Equipment & Services,1.1600209167967532,-0.3582169323692964,-0.22666385422187,-0.1920483410828588,1
BSX.N,2015-07-01,Health Care Equipment & Services,1.319352955366009,-0.3519070759147207,-0.2267733108659486,-0.2254281418453947,-1
BSX.N,2015-10-01,Health Care Equipment & Services,1.9680908987564605,-0.3481211620419753,-0.2406696222727829,-0.2033593426405063,1
BSX.N,2016-01-01,Health Care Equipment & Services,1.881904819079401,-0.3405493342964845,-0.2182174786993931,-0.2028842571697337,1
BSX.N,2016-04-01,Health Care Equipment & Services,2.8315060050291283,-0.3417271741680053,-0.2127702820157947,-0.2441826734346116,-1
BSX.N,2016-07-01,Health Care Equipment & Services,0.9798287526781426,-0.3280978842261218,-0.1618675064540168,-0.2325462419339834,1
BSX.N,2016-10-01,Health Care Equipment & Services,0.6402736909528771,-0.329864644033403,-0.156352847931586,-0.2293948962335069,-1
