Instrument,Date,GICS Industry Group Name,Earnings Per Share - Actual Surprise,Earnings Per Share - Actual Surprise AbsVals
SNPS.OQ,2021-01-01,Software & Services,3.143851744284676,3.143851744284676
SNPS.OQ,2021-04-01,Software & Services,11.487837988497082,11.487837988497082
SNPS.OQ,2021-07-01,Software & Services,1.7917599289144837,1.7917599289144837
SNPS.OQ,2021-10-01,Software & Services,2.092904543134249,2.092904543134249
SNPS.OQ,2022-01-01,Software & Services,1.0922171629311597,1.0922171629311597
SNPS.OQ,2022-04-01,Software & Services,5.503038487508434,5.503038487508434
SNPS.OQ,2022-07-01,Software & Services,5.633802816901413,5.633802816901413
SNPS.OQ,2022-10-01,Software & Services,3.5230352303523005,3.5230352303523005
DXC.N,2013-01-01,Software & Services,30.23255813953488,30.23255813953488
DXC.N,2013-04-01,Software & Services,-43.82022471910112,43.82022471910112
DXC.N,2013-07-01,Software & Services,37.3108203944291,37.3108203944291
DXC.N,2013-10-01,Software & Services,12.144123286184575,12.144123286184575
DXC.N,2014-01-01,Software & Services,16.346713205351946,16.346713205351946
DXC.N,2014-04-01,Software & Services,5.197123968537391,5.197123968537391
DXC.N,2014-07-01,Software & Services,10.025102814719862,10.025102814719862
DXC.N,2014-10-01,Software & Services,16.327214653285736,16.327214653285736
DXC.N,2015-01-01,Software & Services,5.769834084777215,5.769834084777215
DXC.N,2015-04-01,Software & Services,5.219206680584551,5.219206680584551
DXC.N,2015-07-01,Software & Services,9.611225769500445,9.611225769500445
DXC.N,2015-10-01,Software & Services,10.249724375689064,10.249724375689064
DXC.N,2016-01-01,Software & Services,3.148199264887477,3.148199264887477
DXC.N,2016-04-01,Software & Services,6.959706959706957,6.959706959706957
DXC.N,2016-07-01,Software & Services,19.012866862775923,19.012866862775923
DXC.N,2016-10-01,Software & Services,28.691983122362878,28.691983122362878
DXC.N,2017-01-01,Software & Services,15.494845507820862,15.494845507820862
DXC.N,2017-04-01,Software & Services,38.55421686746988,38.55421686746988
DXC.N,2017-07-01,Software & Services,27.335484955993188,27.335484955993188
DXC.N,2017-10-01,Software & Services,26.526678773019007,26.526678773019007
DXC.N,2018-01-01,Software & Services,8.634689330052398,8.634689330052398
DXC.N,2018-04-01,Software & Services,2.7244506719891164,2.7244506719891164
DXC.N,2018-07-01,Software & Services,10.415689325720557,10.415689325720557
DXC.N,2018-10-01,Software & Services,4.249993548886534,4.249993548886534
DXC.N,2019-01-01,Software & Services,8.85695317686569,8.85695317686569
DXC.N,2019-04-01,Software & Services,4.899626863884351,4.899626863884351
DXC.N,2019-07-01,Software & Services,2.026456515620598,2.026456515620598
DXC.N,2019-10-01,Software & Services,-3.1850708573032205,3.1850708573032205
DXC.N,2020-01-01,Software & Services,15.136275295439692,15.136275295439692
DXC.N,2020-04-01,Software & Services,23.83900928792569,23.83900928792569
DXC.N,2020-07-01,Software & Services,79.80991523246853,79.80991523246853
DXC.N,2020-10-01,Software & Services,69.82884436778559,69.82884436778559
DXC.N,2021-01-01,Software & Services,54.43163642380452,54.43163642380452
DXC.N,2021-04-01,Software & Services,5.134543801324119,5.134543801324119
DXC.N,2021-07-01,Software & Services,13.283884018880634,13.283884018880634
DXC.N,2021-10-01,Software & Services,7.441209136124394,7.441209136124394
DXC.N,2022-01-01,Software & Services,0.6476457202870686,0.6476457202870686
DXC.N,2022-04-01,Software & Services,-15.286714132999862,15.286714132999862
DXC.N,2022-07-01,Software & Services,-8.536585365853654,8.536585365853654
DXC.N,2022-10-01,Software & Services,2.505227766616092,2.505227766616092
SCHW.N,2013-01-01,Diversified Financials,1.4130214319518497,1.4130214319518497
SCHW.N,2013-04-01,Diversified Financials,-5.595065768770853,5.595065768770853
SCHW.N,2013-07-01,Diversified Financials,-3.511123023318145,3.511123023318145
SCHW.N,2013-10-01,Diversified Financials,7.980759791891624,7.980759791891624
SCHW.N,2014-01-01,Diversified Financials,10.9075127784743,10.9075127784743
SCHW.N,2014-04-01,Diversified Financials,9.274689250102446,9.274689250102446
SCHW.N,2014-07-01,Diversified Financials,2.372368362487204,2.372368362487204
SCHW.N,2014-10-01,Diversified Financials,-1.5990159901599077,1.5990159901599077
SCHW.N,2015-01-01,Diversified Financials,-1.07172300082441,1.07172300082441
SCHW.N,2015-04-01,Diversified Financials,-6.720373118507528,6.720373118507528
SCHW.N,2015-07-01,Diversified Financials,5.614464957120526,5.614464957120526
SCHW.N,2015-10-01,Diversified Financials,1.339939196036489,1.339939196036489
SCHW.N,2016-01-01,Diversified Financials,-4.893996433524877,4.893996433524877
SCHW.N,2016-04-01,Diversified Financials,-0.4531099821502277,0.4531099821502277
SCHW.N,2016-07-01,Diversified Financials,0.7421337183921521,0.7421337183921521
SCHW.N,2016-10-01,Diversified Financials,1.8573996405033075,1.8573996405033075
SCHW.N,2017-01-01,Diversified Financials,0.6514384768082307,0.6514384768082307
SCHW.N,2017-04-01,Diversified Financials,6.881525939324186,6.881525939324186
SCHW.N,2017-07-01,Diversified Financials,0.6062169482780907,0.6062169482780907
SCHW.N,2017-10-01,Diversified Financials,3.277841984901765,3.277841984901765
SCHW.N,2018-01-01,Diversified Financials,6.25196203907175,6.25196203907175
SCHW.N,2018-04-01,Diversified Financials,2.5354213273676467,2.5354213273676467
SCHW.N,2018-07-01,Diversified Financials,3.825987644707464,3.825987644707464
SCHW.N,2018-10-01,Diversified Financials,0.6643849406080153,0.6643849406080153
SCHW.N,2019-01-01,Diversified Financials,1.7373610893723586,1.7373610893723586
SCHW.N,2019-04-01,Diversified Financials,5.112424593260606,5.112424593260606
SCHW.N,2019-07-01,Diversified Financials,1.0890042733079173,1.0890042733079173
SCHW.N,2019-10-01,Diversified Financials,15.135673388100578,15.135673388100578
SCHW.N,2020-01-01,Diversified Financials,-1.3513301911905211,1.3513301911905211
SCHW.N,2020-04-01,Diversified Financials,-7.200000000000006,7.200000000000006
SCHW.N,2020-07-01,Diversified Financials,-8.930502589788842,8.930502589788842
SCHW.N,2020-10-01,Diversified Financials,5.05121246607721,5.05121246607721
SCHW.N,2021-01-01,Diversified Financials,4.8336827789426025,4.8336827789426025
SCHW.N,2021-04-01,Diversified Financials,2.022226270723257,2.022226270723257
SCHW.N,2021-07-01,Diversified Financials,12.181509682666556,12.181509682666556
SCHW.N,2021-10-01,Diversified Financials,3.457194585740141,3.457194585740141
SCHW.N,2022-01-01,Diversified Financials,-2.4423445600263234,2.4423445600263234
SCHW.N,2022-04-01,Diversified Financials,-8.42817558005399,8.42817558005399
SCHW.N,2022-07-01,Diversified Financials,6.761174152789547,6.761174152789547
SCHW.N,2022-10-01,Diversified Financials,4.364326375711578,4.364326375711578
PSX.N,2013-01-01,Energy,22.84719240494252,22.84719240494252
PSX.N,2013-04-01,Energy,16.141554811919626,16.141554811919626
PSX.N,2013-07-01,Energy,-18.116907220997007,18.116907220997007
PSX.N,2013-10-01,Energy,-7.00160342063068,7.00160342063068
PSX.N,2014-01-01,Energy,22.123490544543177,22.123490544543177
PSX.N,2014-04-01,Energy,9.672028410277834,9.672028410277834
