,Instrument,Date,Earnings Per Share - Actual,Earnings Per Share - Mean,Earnings Per Share - Actual Surprise
789,VLO.N,2022-04-26 06:43:00+00:00,2.31,1.65593,39.499
790,VLO.N,2022-01-27 06:40:00+00:00,2.47,1.83765,34.411
791,VLO.N,2021-10-21 06:34:00+00:00,1.22,0.92194,32.33
792,LH.N,2023-02-16 07:00:00+00:00,4.14,4.10323,0.896
793,LH.N,2022-10-27 07:16:00+00:00,4.68,4.66707,0.277
794,LH.N,2022-07-28 07:00:00+00:00,4.95,4.69893,5.343
795,LH.N,2022-04-28 06:53:00+00:00,6.11,5.97643,2.235
796,LH.N,2022-02-10 07:08:00+00:00,6.77,5.79539,16.817
797,LH.N,2021-10-28 06:59:00+00:00,6.82,4.91707,38.701
798,DRI.N,2022-12-16 07:00:00+00:00,1.52,1.43667,5.8
799,DRI.N,2022-09-22 07:00:00+00:00,1.53,1.56046,-1.952
800,DRI.N,2022-06-23 07:00:00+00:00,2.27,2.20992,2.719
801,DRI.N,2022-03-24 07:00:00+00:00,1.91,2.09867,-8.99
802,DRI.N,2021-12-17 07:08:00+00:00,1.48,1.42771,3.663
803,DRI.N,2021-09-23 07:00:00+00:00,1.76,1.64636,6.903
804,MAA.N,2023-02-01 16:15:00+00:00,1.67,1.168,42.98
805,MAA.N,2022-10-26 16:15:00+00:00,1.05,1.106,-5.063
806,MAA.N,2022-07-27 16:15:00+00:00,1.82,0.935,94.652
807,MAA.N,2022-04-27 16:15:00+00:00,0.95,0.818,16.137
808,MAA.N,2022-02-02 16:21:00+00:00,1.6,0.75167,112.859
809,MAA.N,2021-10-27 16:19:00+00:00,0.73,0.655,11.45
810,JNJ.N,2023-01-24 06:25:00+00:00,2.35,2.22947,5.406
811,JNJ.N,2022-10-18 06:25:00+00:00,2.55,2.47193,3.158
812,JNJ.N,2022-07-19 06:25:00+00:00,2.59,2.53543,2.152
813,JNJ.N,2022-04-19 06:25:00+00:00,2.67,2.56413,4.129
814,JNJ.N,2022-01-25 06:25:00+00:00,2.13,2.11729,0.6
815,JNJ.N,2021-10-19 06:25:00+00:00,2.6,2.35136,10.574
816,ABC.N,2023-02-01 06:30:00+00:00,2.71,2.63708,2.765
817,ABC.N,2022-11-03 06:30:00+00:00,2.6,2.57009,1.164
818,ABC.N,2022-08-03 06:30:00+00:00,2.62,2.56423,2.175
819,ABC.N,2022-05-04 06:30:00+00:00,3.22,2.92667,10.023
820,ABC.N,2022-02-02 06:30:00+00:00,2.58,2.57533,0.181
821,ABC.N,2021-11-04 06:30:00+00:00,2.39,2.35917,1.307
822,SHW.N,2023-01-26 07:00:00+00:00,1.89,1.86613,1.279
823,SHW.N,2022-10-25 07:00:00+00:00,2.83,2.56271,10.43
824,SHW.N,2022-07-27 07:00:00+00:00,2.41,2.77244,-13.073
825,SHW.N,2022-04-26 07:00:00+00:00,1.61,1.5445,4.241
826,SHW.N,2022-01-27 07:00:00+00:00,1.34,1.37904,-2.831
827,SHW.N,2021-10-26 07:00:00+00:00,2.09,2.10073,-0.511
828,GD.N,2023-01-25 07:00:00+00:00,3.58,3.54439,1.005
829,GD.N,2022-10-26 07:00:00+00:00,3.26,3.15328,3.384
830,GD.N,2022-07-27 07:00:00+00:00,2.75,2.724,0.955
831,GD.N,2022-04-27 07:00:00+00:00,2.61,2.50588,4.155
832,GD.N,2022-01-26 07:00:00+00:00,3.39,3.37294,0.506
833,GD.N,2021-10-27 07:00:00+00:00,3.07,2.97938,3.042
834,SBAC.OQ,2023-02-21 16:06:00+00:00,0.94,1.09154,-13.883
835,SBAC.OQ,2022-10-31 16:01:00+00:00,0.91,0.94493,-3.697
836,SBAC.OQ,2022-08-01 16:01:00+00:00,0.64,0.90207,-29.052
837,SBAC.OQ,2022-04-25 16:01:00+00:00,1.72,0.99613,72.668
838,SBAC.OQ,2022-02-28 16:01:00+00:00,0.44,0.68657,-35.913
839,SBAC.OQ,2021-11-01 16:01:00+00:00,0.43,0.82733,-48.026
840,MPWR.OQ,2023-02-08 17:02:00+00:00,3.17,3.14539,0.782
841,MPWR.OQ,2022-10-27 16:10:00+00:00,3.53,3.49955,0.87
842,MPWR.OQ,2022-08-01 16:01:00+00:00,3.25,2.94546,10.339
843,MPWR.OQ,2022-05-02 16:05:00+00:00,2.45,2.25827,8.49
844,MPWR.OQ,2022-02-10 16:01:00+00:00,2.12,1.87546,13.039
845,MPWR.OQ,2021-10-28 16:06:00+00:00,2.06,1.99818,3.094
846,COP.N,2023-02-02 07:00:00+00:00,2.71,2.81052,-3.577
847,COP.N,2022-11-03 07:00:00+00:00,3.6,3.46067,4.026
848,COP.N,2022-08-04 07:00:00+00:00,3.91,3.80411,2.784
849,COP.N,2022-05-05 07:09:00+00:00,3.27,3.02911,7.953
850,COP.N,2022-02-03 07:00:00+00:00,2.27,2.18385,3.945
851,COP.N,2021-11-02 07:00:00+00:00,1.77,1.5051,17.6
852,ORCL.N,2022-12-12 16:05:00+00:00,1.21,1.17841,2.681
853,ORCL.N,2022-09-12 16:05:00+00:00,1.03,1.07177,-3.897
854,ORCL.N,2022-06-13 16:05:00+00:00,1.54,1.37081,12.342
855,ORCL.N,2022-03-10 16:11:00+00:00,1.13,1.17552,-3.872
856,ORCL.N,2021-12-09 16:05:00+00:00,1.21,1.11246,8.768
857,ORCL.N,2021-09-13 16:05:00+00:00,1.03,0.96925,6.268
858,AMP.N,2023-01-25 16:08:00+00:00,6.94,6.47825,7.128
859,AMP.N,2022-10-25 16:08:00+00:00,6.43,5.84608,9.988
860,AMP.N,2022-07-26 16:08:00+00:00,5.81,5.55827,4.529
861,AMP.N,2022-04-25 17:36:00+00:00,5.98,5.86291,1.997
862,AMP.N,2022-01-26 16:05:00+00:00,6.15,5.70373,7.824
863,AMP.N,2021-10-26 16:07:00+00:00,5.91,5.48455,7.757
864,NXPI.OQ,2023-01-30 16:10:00+00:00,3.63,3.59983,0.838
865,NXPI.OQ,2022-10-31 16:01:00+00:00,3.81,3.627,5.046
866,NXPI.OQ,2022-07-25 16:01:00+00:00,3.52,3.35496,4.919
867,NXPI.OQ,2022-05-02 16:10:00+00:00,3.34,3.16617,5.49
868,NXPI.OQ,2022-01-31 16:13:00+00:00,3.2,2.98596,7.168
869,NXPI.OQ,2021-11-01 16:07:00+00:00,2.84,2.72204,4.334
870,CPRT.OQ,2023-02-20 17:30:00+00:00,0.61,0.57371,6.326
871,CPRT.OQ,2022-11-16 18:22:00+00:00,0.51,0.56313,-9.435
872,CPRT.OQ,2022-09-07 17:25:00+00:00,0.565,0.54938,2.844
873,CPRT.OQ,2022-05-18 18:15:00+00:00,0.585,0.57063,2.519
874,CPRT.OQ,2022-02-16 17:20:00+00:00,0.55,0.53717,2.389
875,CPRT.OQ,2021-11-17 16:45:00+00:00,0.535,0.505,5.941
876,TXT.N,2023-01-25 06:30:00+00:00,1.07,1.08231,-1.137
877,TXT.N,2022-10-27 06:30:00+00:00,1.06,0.92923,14.073
878,TXT.N,2022-07-28 06:30:00+00:00,1.0,0.8825,13.314
879,TXT.N,2022-04-28 06:30:00+00:00,0.88,0.73167,20.273
880,TXT.N,2022-01-27 06:30:00+00:00,0.94,0.95417,-1.485
881,TXT.N,2021-10-28 06:30:00+00:00,0.85,0.776,9.536
882,T.N,2023-01-25 06:30:00+00:00,0.61,0.5703,6.961
883,T.N,2022-10-20 06:26:00+00:00,0.68,0.61155,11.193
884,T.N,2022-07-21 06:29:00+00:00,0.65,0.60605,7.252
885,T.N,2022-04-21 06:33:00+00:00,0.77,0.78506,-1.919
886,T.N,2022-01-26 06:28:00+00:00,0.78,0.75833,2.858
887,T.N,2021-10-21 06:31:00+00:00,0.87,0.78094,11.404
888,MTCH.OQ,2023-01-31 16:11:00+00:00,0.3,0.46314,-35.225
889,MTCH.OQ,2022-11-01 16:11:00+00:00,0.44,0.43444,1.279
890,MTCH.OQ,2022-08-02 16:13:00+00:00,0.7,0.53474,30.905
891,MTCH.OQ,2022-05-03 16:17:00+00:00,0.6,0.52944,13.326
892,MTCH.OQ,2022-02-01 16:11:00+00:00,0.63,0.53,18.868
893,MTCH.OQ,2021-11-02 16:11:00+00:00,0.43,0.54527,-21.14
894,NDAQ.OQ,2023-01-25 07:00:00+00:00,0.64,0.65273,-1.95
895,NDAQ.OQ,2022-10-19 07:00:00+00:00,0.68,0.64867,4.83
896,NDAQ.OQ,2022-07-20 07:00:00+00:00,0.69,0.63817,8.122
897,NDAQ.OQ,2022-04-20 07:00:00+00:00,0.65667,0.6486,1.244
898,NDAQ.OQ,2022-01-26 07:00:00+00:00,0.64333,0.5921,8.653
899,NDAQ.OQ,2021-10-20 07:00:00+00:00,0.59333,0.57413,3.345
900,FFIV.OQ,2023-01-24 16:05:00+00:00,2.47,2.32971,6.022
901,FFIV.OQ,2022-10-25 16:05:00+00:00,2.62,2.52131,3.914
902,FFIV.OQ,2022-07-25 16:05:00+00:00,2.57,2.23282,15.101
903,FFIV.OQ,2022-04-26 16:05:00+00:00,2.13,2.01453,5.732
904,FFIV.OQ,2022-01-25 16:05:00+00:00,2.89,2.77953,3.974
905,FFIV.OQ,2021-10-26 16:05:00+00:00,3.01,2.74788,9.539
906,LEN.N,2022-12-14 17:00:00+00:00,4.55,4.89531,-7.054
907,LEN.N,2022-09-21 16:30:00+00:00,5.19,4.8738,6.488
908,LEN.N,2022-06-21 06:00:00+00:00,4.49,3.958,13.441
909,LEN.N,2022-03-16 16:30:00+00:00,1.69,2.59471,-34.867
910,LEN.N,2021-12-15 16:30:00+00:00,3.91,4.15267,-5.844
911,LEN.N,2021-09-20 16:30:00+00:00,4.52,3.27143,38.166
912,CDNS.OQ,2023-02-13 16:05:00+00:00,0.96,0.91927,4.431
913,CDNS.OQ,2022-10-24 16:12:00+00:00,1.06,0.9663,9.697
914,CDNS.OQ,2022-07-25 16:05:00+00:00,1.08,0.9624,12.22
915,CDNS.OQ,2022-04-25 16:05:00+00:00,1.17,1.01593,15.165
916,CDNS.OQ,2022-02-22 16:05:00+00:00,0.82,0.76143,7.692
917,CDNS.OQ,2021-10-25 16:05:00+00:00,0.8,0.75014,6.646
918,NVDA.OQ,2022-11-16 16:20:00+00:00,0.58,0.69436,-16.47
919,NVDA.OQ,2022-08-24 16:20:00+00:00,0.51,1.25545,-59.377
920,NVDA.OQ,2022-05-25 16:20:00+00:00,1.36,1.29336,5.153
921,NVDA.OQ,2022-02-16 16:24:00+00:00,1.32,1.22236,7.988
922,NVDA.OQ,2021-11-17 16:21:00+00:00,1.17,1.10632,5.756
923,NVDA.OQ,2021-08-18 16:20:00+00:00,1.04,1.01458,2.506
924,WELL.N,2023-02-15 16:20:00+00:00,-0.01,0.09625,-110.39
925,WELL.N,2022-11-07 16:06:00+00:00,-0.01,0.162,-106.173
926,WELL.N,2022-08-09 16:30:00+00:00,0.2,0.18125,10.345
927,WELL.N,2022-05-10 16:30:00+00:00,0.14,0.177,-20.904
928,WELL.N,2022-02-15 16:05:00+00:00,0.13,0.15,-13.333
929,WELL.N,2021-11-04 16:06:00+00:00,0.42,0.199,111.055
930,PLD.N,2023-01-18 08:00:00+00:00,0.63,0.565,11.504
931,PLD.N,2022-10-19 08:00:00+00:00,1.36,1.21857,11.606
932,PLD.N,2022-07-18 08:00:00+00:00,0.82,0.62167,31.904
933,PLD.N,2022-04-19 08:00:00+00:00,1.54,0.55,180.0
934,PLD.N,2022-01-19 08:00:00+00:00,1.67,0.605,176.033
935,PLD.N,2021-10-15 08:05:00+00:00,0.97,0.51143,89.665
936,ROST.OQ,2022-11-17 16:01:00+00:00,1.0,0.81184,23.177
937,ROST.OQ,2022-08-18 16:10:00+00:00,1.11,0.99444,11.621
938,ROST.OQ,2022-05-19 16:01:00+00:00,0.91,0.99821,-8.837
939,ROST.OQ,2022-03-01 16:01:00+00:00,1.04,0.96948,7.274
940,ROST.OQ,2021-11-18 16:01:00+00:00,1.09,0.78391,39.047
941,ROST.OQ,2021-08-19 16:01:00+00:00,1.39,0.97741,42.213
942,MRK.N,2023-02-02 06:31:00+00:00,1.62,1.5379,5.338
943,MRK.N,2022-10-27 06:30:00+00:00,1.85,1.706,8.441
944,MRK.N,2022-07-28 06:38:00+00:00,1.87,1.70363,9.766
945,MRK.N,2022-04-28 06:35:00+00:00,2.14,1.83288,16.756
946,MRK.N,2022-02-03 06:30:00+00:00,1.8,1.52612,17.946
947,MRK.N,2021-10-28 06:32:00+00:00,1.75,1.54569,13.218
948,WEC.N,2023-02-02 07:00:00+00:00,0.8,0.74622,7.207
949,WEC.N,2022-11-01 07:35:00+00:00,0.96,0.8634,11.188
950,WEC.N,2022-08-02 07:00:00+00:00,0.91,0.852,6.808
951,WEC.N,2022-05-02 07:00:00+00:00,1.79,1.66846,7.285
952,WEC.N,2022-02-03 07:18:00+00:00,0.71,0.67558,5.094
953,WEC.N,2021-11-02 07:00:00+00:00,0.92,0.79142,16.247
954,MSCI.N,2023-01-31 06:45:00+00:00,2.84,2.75958,2.914
955,MSCI.N,2022-10-25 06:45:00+00:00,2.85,2.70836,5.23
956,MSCI.N,2022-07-26 06:45:00+00:00,2.78,2.68246,3.636
957,MSCI.N,2022-04-26 06:45:00+00:00,2.98,2.79727,6.532
958,MSCI.N,2022-01-27 06:45:00+00:00,2.51,2.49433,0.628
959,MSCI.N,2021-10-26 06:45:00+00:00,2.53,2.4113,4.923
960,TMO.N,2023-02-01 06:00:00+00:00,5.4,5.19567,3.933
961,TMO.N,2022-10-26 06:00:00+00:00,5.08,4.8121,5.567
962,TMO.N,2022-07-28 06:00:00+00:00,5.51,4.98711,10.485
963,TMO.N,2022-04-28 06:00:00+00:00,7.25,6.18074,17.3
964,TMO.N,2022-02-02 06:00:00+00:00,6.54,5.27216,24.048
965,TMO.N,2021-10-27 06:00:00+00:00,5.76,4.67006,23.339
966,F.N,2023-02-02 16:05:00+00:00,0.51,0.62231,-18.047
967,F.N,2022-10-26 16:05:00+00:00,0.3,0.2716,10.457
968,F.N,2022-07-27 16:05:00+00:00,0.68,0.44733,52.013
969,F.N,2022-04-27 16:05:00+00:00,0.38,0.37018,2.653
970,F.N,2022-02-03 16:05:00+00:00,0.26,0.45231,-42.517
971,F.N,2021-10-27 16:05:00+00:00,0.51,0.26894,89.633
972,GEHC.OQ,,,,
973,LYB.N,2023-02-03 06:30:00+00:00,1.29,1.22081,5.668
974,LYB.N,2022-10-28 06:30:00+00:00,1.96,2.844,-31.083
975,LYB.N,2022-07-29 06:30:00+00:00,5.19,4.66543,11.244
976,LYB.N,2022-04-29 06:30:00+00:00,4.0,3.5252,13.469
